employee_id,effective_date,job_function,job_level,pay_rate_type,location,max_tenure,max_role_tenure,max_promotions,employee_status
62,2022-07-01,Strategy,L2,Hourly,Orlando,610,610,1.0,Terminated
63,2022-01-01,Strategy,L2,Hourly,MoonMart2,150,150,1.0,Terminated
64,2022-04-01,Strategy,L3,Salary,MoonMart2,276,276,1.0,Terminated
65,2022-10-01,Strategy,L2,Hourly,Orlando,447,447,1.0,Terminated
66,2022-01-01,Strategy,L2,Hourly,MoonMart1,125,125,1.0,Terminated
68,2022-01-01,Strategy,L3,Salary,MoonMart2,127,127,1.0,Terminated
69,2022-04-01,Strategy,L2,Hourly,MoonMart1,489,489,1.0,Terminated
70,2022-10-01,Strategy,L2,Hourly,Orlando,508,508,1.0,Terminated
71,2024-10-01,Strategy,L3,Salary,MoonMart2,1271,1271,1.0,Active
72,2023-07-01,Strategy,L3,Salary,MoonMart2,1100,365,2.0,Terminated
73,2022-01-01,Strategy,L2,Hourly,MoonMart1,302,302,1.0,Terminated
74,2022-10-01,Strategy,L2,Hourly,Orlando,456,456,1.0,Terminated
77,2022-04-01,Strategy,L2,Hourly,MoonMart1,464,464,1.0,Terminated
78,2023-10-01,Strategy,L3,Salary,MoonMart1,848,848,1.0,Terminated
81,2022-01-01,Strategy,L2,Hourly,Orlando,298,298,1.0,Terminated
82,2022-07-01,Strategy,L2,Hourly,Orlando,945,945,1.0,Terminated
83,2022-04-01,Strategy,L2,Hourly,MoonMart2,332,332,1.0,Terminated
84,2022-04-01,Strategy,L2,Hourly,MoonMart2,825,825,1.0,Terminated
86,2022-07-01,Strategy,L2,Hourly,Orlando,873,873,1.0,Terminated
87,2022-04-01,Strategy,L2,Hourly,MoonMart2,265,265,1.0,Terminated
88,2022-04-01,Strategy,L2,Hourly,MoonMart1,641,641,1.0,Terminated
89,2022-01-01,Strategy,L2,Hourly,MoonMart2,347,347,1.0,Terminated
90,2022-01-01,Strategy,L3,Salary,MoonMart1,91,91,1.0,Terminated
91,2022-10-01,Strategy,L2,Hourly,MoonMart1,526,526,1.0,Terminated
94,2022-07-01,Strategy,L3,Salary,Orlando,774,774,1.0,Terminated
96,2022-01-01,Strategy,L2,Hourly,Orlando,219,219,1.0,Terminated
97,2024-10-01,Strategy,L3,Salary,Orlando,1133,1133,1.0,Active
98,2022-01-01,Strategy,L2,Hourly,MoonMart2,814,814,1.0,Terminated
99,2022-10-01,Strategy,L2,Hourly,Orlando,372,372,1.0,Terminated
100,2023-01-01,Strategy,L3,Salary,Orlando,952,952,1.0,Terminated
101,2024-01-01,Strategy,L3,Salary,MoonMart1,1520,548,2.0,Terminated
105,2022-01-01,Strategy,L2,Hourly,MoonMart1,237,237,1.0,Terminated
106,2023-04-01,Strategy,L2,Hourly,Orlando,787,787,1.0,Terminated
108,2022-01-01,Strategy,L2,Hourly,MoonMart1,725,725,1.0,Terminated
109,2023-01-01,Strategy,L2,Hourly,Orlando,512,512,1.0,Terminated
110,2022-04-01,Strategy,L2,Hourly,MoonMart1,365,365,1.0,Terminated
111,2022-07-01,Strategy,L2,Hourly,Orlando,428,428,1.0,Terminated
113,2022-04-01,Strategy,L2,Hourly,MoonMart1,850,850,1.0,Terminated
114,2024-10-01,Strategy,L3,Salary,MoonMart2,1196,1196,1.0,Active
115,2022-07-01,Strategy,L3,Salary,Orlando,750,750,1.0,Terminated
117,2022-01-01,Strategy,L2,Hourly,MoonMart2,384,384,1.0,Terminated
119,2022-04-01,Strategy,L2,Hourly,MoonMart1,310,310,1.0,Terminated
120,2022-10-01,Strategy,L2,Hourly,MoonMart1,1019,1019,1.0,Terminated
121,2024-10-01,Strategy,L3,Salary,Orlando,1088,1088,1.0,Active
122,2023-10-01,Strategy,L3,Salary,MoonMart2,1410,1410,1.0,Terminated
123,2022-04-01,Strategy,L2,Hourly,Orlando,817,817,1.0,Terminated
124,2022-01-01,Strategy,L2,Hourly,Orlando,651,651,1.0,Terminated
125,2022-01-01,Strategy,L3,Salary,Orlando,207,207,1.0,Terminated
127,2022-01-01,Strategy,L3,Salary,MoonMart2,425,425,1.0,Terminated
128,2022-01-01,Strategy,L2,Hourly,Orlando,433,433,1.0,Terminated
131,2022-01-01,Strategy,L2,Hourly,Orlando,239,239,1.0,Terminated
132,2022-10-01,Strategy,L2,Hourly,Orlando,651,651,1.0,Terminated
133,2022-01-01,Strategy,L3,Salary,Orlando,518,518,1.0,Terminated
134,2022-10-01,Strategy,L2,Hourly,Orlando,1037,1037,1.0,Terminated
135,2022-07-01,Strategy,L2,Hourly,Orlando,683,683,1.0,Terminated
136,2023-01-01,Strategy,L3,Salary,Orlando,1135,1135,1.0,Terminated
137,2022-07-01,Strategy,L3,Salary,Orlando,381,381,1.0,Terminated
138,2022-01-01,Strategy,L2,Hourly,Orlando,763,763,1.0,Terminated
139,2022-01-01,Strategy,L2,Hourly,Orlando,631,631,1.0,Terminated
141,2023-04-01,Strategy,L3,Salary,MoonMart2,586,586,1.0,Terminated
142,2022-04-01,Strategy,L2,Hourly,MoonMart1,499,499,1.0,Terminated
143,2023-04-01,Strategy,L2,Hourly,MoonMart1,694,694,1.0,Terminated
144,2022-07-01,Strategy,L2,Hourly,Orlando,412,412,1.0,Terminated
145,2022-04-01,Strategy,L2,Hourly,Orlando,278,278,1.0,Terminated
146,2023-04-01,Strategy,L2,Hourly,MoonMart1,848,848,1.0,Terminated
147,2024-07-01,Strategy,L3,Salary,MoonMart2,1236,1236,1.0,Terminated
148,2022-01-01,Strategy,L2,Hourly,Orlando,136,136,1.0,Terminated
149,2022-01-01,Strategy,L2,Hourly,MoonMart1,333,333,1.0,Terminated
150,2022-01-01,Strategy,L2,Hourly,MoonMart1,253,253,1.0,Terminated
152,2022-01-01,Strategy,L2,Hourly,Orlando,221,221,1.0,Terminated
153,2022-07-01,Strategy,L2,Hourly,Orlando,601,601,1.0,Terminated
155,2022-04-01,Strategy,L2,Hourly,MoonMart2,837,837,1.0,Terminated
156,2022-07-01,Strategy,L2,Hourly,Orlando,486,486,1.0,Terminated
157,2022-10-01,Strategy,L2,Hourly,Orlando,663,663,1.0,Terminated
158,2023-04-01,Strategy,L3,Salary,Orlando,876,876,1.0,Terminated
159,2023-10-01,Strategy,L3,Salary,MoonMart1,1083,457,2.0,Terminated
161,2023-07-01,Strategy,L3,Salary,Orlando,725,273,2.0,Terminated
162,2022-01-01,Strategy,L2,Hourly,MoonMart2,142,142,1.0,Terminated
165,2022-01-01,Strategy,L2,Hourly,MoonMart1,684,684,1.0,Terminated
166,2022-01-01,Strategy,L2,Hourly,Orlando,396,396,1.0,Terminated
167,2022-04-01,Strategy,L2,Hourly,MoonMart1,346,346,1.0,Terminated
169,2023-01-01,Strategy,L3,Salary,Orlando,511,511,1.0,Terminated
170,2022-10-01,Strategy,L2,Hourly,MoonMart1,745,745,1.0,Terminated
171,2022-04-01,Strategy,L2,Hourly,MoonMart2,209,209,1.0,Terminated
172,2022-07-01,Strategy,L2,Hourly,MoonMart2,380,380,1.0,Terminated
173,2024-01-01,Strategy,L3,Salary,Orlando,1058,366,2.0,Terminated
174,2023-04-01,Strategy,L2,Hourly,MoonMart1,1183,1183,1.0,Terminated
175,2022-01-01,Strategy,L2,Hourly,Orlando,314,314,1.0,Terminated
177,2022-07-01,Strategy,L2,Hourly,Orlando,572,572,1.0,Terminated
178,2022-10-01,Strategy,L2,Hourly,Orlando,648,648,1.0,Terminated
179,2022-01-01,Strategy,L2,Hourly,Orlando,173,173,1.0,Terminated
180,2024-10-01,Strategy,L3,Salary,Orlando,1082,1082,1.0,Active
182,2022-01-01,Strategy,L2,Hourly,Orlando,114,114,1.0,Terminated
183,2022-10-01,Strategy,L3,Salary,MoonMart2,538,538,1.0,Terminated
184,2022-07-01,Strategy,L3,Salary,Orlando,626,626,1.0,Terminated
185,2022-07-01,Strategy,L2,Hourly,MoonMart1,564,564,1.0,Terminated
186,2022-01-01,Strategy,L2,Hourly,MoonMart1,779,779,1.0,Terminated
187,2022-01-01,Strategy,L2,Hourly,Orlando,269,269,1.0,Terminated
188,2022-04-01,Strategy,L2,Hourly,MoonMart2,546,546,1.0,Terminated
190,2023-04-01,Strategy,L3,Salary,MoonMart2,595,595,1.0,Terminated
191,2023-04-01,Strategy,L2,Hourly,Orlando,915,915,1.0,Terminated
192,2022-10-01,Strategy,L2,Hourly,Orlando,413,413,1.0,Terminated
194,2022-01-01,Strategy,L2,Hourly,MoonMart1,640,640,1.0,Terminated
195,2022-04-01,Strategy,L2,Hourly,Orlando,534,534,1.0,Terminated
196,2022-01-01,Strategy,L3,Salary,MoonMart2,481,481,1.0,Terminated
197,2024-10-01,Strategy,L3,Salary,Orlando,1027,731,2.0,Active
198,2022-01-01,Strategy,L2,Hourly,Orlando,548,548,1.0,Terminated
200,2024-10-01,Strategy,L2,Hourly,Orlando,1344,1344,1.0,Active
201,2023-01-01,Strategy,L2,Hourly,Orlando,705,705,1.0,Terminated
202,2022-04-01,Strategy,L2,Hourly,MoonMart2,708,708,1.0,Terminated
204,2022-01-01,Strategy,L2,Hourly,MoonMart1,339,339,1.0,Terminated
205,2024-01-01,Strategy,L3,Salary,MoonMart1,1528,1528,1.0,Terminated
207,2022-10-01,Strategy,L3,Salary,Orlando,588,588,1.0,Terminated
208,2022-01-01,Strategy,L2,Hourly,MoonMart2,536,536,1.0,Terminated
211,2022-10-01,Strategy,L2,Hourly,Orlando,716,716,1.0,Terminated
213,2022-01-01,Strategy,L2,Hourly,Orlando,227,227,1.0,Terminated
214,2022-04-01,Strategy,L2,Hourly,MoonMart2,527,527,1.0,Terminated
215,2022-01-01,Strategy,L2,Hourly,MoonMart1,211,211,1.0,Terminated
216,2022-01-01,Strategy,L2,Hourly,Orlando,279,279,1.0,Terminated
217,2024-01-01,Strategy,L3,Salary,MoonMart1,963,548,2.0,Terminated
219,2022-07-01,Strategy,L2,Hourly,Orlando,744,744,1.0,Terminated
221,2022-04-01,Strategy,L2,Hourly,MoonMart2,546,546,1.0,Terminated
222,2022-07-01,Strategy,L2,Hourly,Orlando,632,632,1.0,Terminated
225,2022-04-01,Strategy,L2,Hourly,MoonMart1,207,207,1.0,Terminated
226,2022-01-01,Strategy,L2,Hourly,Orlando,514,514,1.0,Terminated
227,2022-04-01,Strategy,L2,Hourly,MoonMart2,205,205,1.0,Terminated
229,2022-01-01,Strategy,L2,Hourly,MoonMart2,99,99,1.0,Terminated
230,2022-01-01,Strategy,L2,Hourly,MoonMart1,172,172,1.0,Terminated
232,2023-10-01,Strategy,L3,Salary,Orlando,755,457,2.0,Terminated
233,2022-04-01,Strategy,L3,Salary,MoonMart1,200,200,1.0,Terminated
234,2022-01-01,Strategy,L2,Hourly,Orlando,191,191,1.0,Terminated
235,2022-01-01,Strategy,L2,Hourly,Orlando,248,248,1.0,Terminated
236,2022-07-01,Strategy,L2,Hourly,Orlando,693,693,1.0,Terminated
237,2022-01-01,Strategy,L2,Hourly,Orlando,348,348,1.0,Terminated
238,2022-07-01,Strategy,L2,Hourly,Orlando,342,342,1.0,Terminated
239,2022-04-01,Strategy,L2,Hourly,MoonMart1,308,308,1.0,Terminated
241,2022-07-01,Strategy,L2,Hourly,Orlando,481,481,1.0,Terminated
242,2022-01-01,Strategy,L2,Hourly,Orlando,369,369,1.0,Terminated
243,2022-10-01,Strategy,L2,Hourly,Orlando,806,806,1.0,Terminated
244,2022-01-01,Strategy,L2,Hourly,MoonMart2,408,408,1.0,Terminated
247,2023-04-01,Strategy,L2,Hourly,MoonMart1,1127,1127,1.0,Terminated
248,2022-07-01,Strategy,L2,Hourly,Orlando,957,957,1.0,Terminated
249,2023-01-01,Strategy,L2,Hourly,MoonMart1,700,700,1.0,Terminated
250,2022-07-01,Strategy,L3,Salary,Orlando,538,538,1.0,Terminated
253,2022-07-01,Strategy,L2,Hourly,Orlando,385,385,1.0,Terminated
254,2022-01-01,Strategy,L3,Salary,Orlando,331,331,1.0,Terminated
255,2022-07-01,Strategy,L3,Salary,Orlando,333,333,1.0,Terminated
256,2022-04-01,Strategy,L2,Hourly,MoonMart1,803,803,1.0,Terminated
257,2024-10-01,Strategy,L3,Salary,Orlando,1257,1257,1.0,Active
258,2022-10-01,Strategy,L2,Hourly,MoonMart1,384,384,1.0,Terminated
260,2022-07-01,Strategy,L3,Salary,MoonMart1,880,880,1.0,Terminated
261,2024-04-01,Strategy,L3,Salary,MoonMart2,1209,457,2.0,Terminated
262,2022-10-01,Strategy,L3,Salary,Orlando,389,389,1.0,Terminated
263,2022-07-01,Strategy,L3,Salary,Orlando,412,412,1.0,Terminated
265,2022-01-01,Strategy,L2,Hourly,Orlando,374,374,1.0,Terminated
266,2023-01-01,Strategy,L3,Salary,Orlando,590,590,1.0,Terminated
267,2022-10-01,Strategy,L3,Salary,Orlando,604,604,1.0,Terminated
268,2022-01-01,Strategy,L2,Hourly,Orlando,189,189,1.0,Terminated
269,2022-07-01,Strategy,L3,Salary,Orlando,318,318,1.0,Terminated
270,2023-01-01,Strategy,L2,Hourly,MoonMart1,905,905,1.0,Terminated
274,2022-04-01,Strategy,L2,Hourly,MoonMart2,270,270,1.0,Terminated
276,2023-07-01,Strategy,L3,Salary,Orlando,1133,183,2.0,Terminated
277,2022-01-01,Strategy,L2,Hourly,Orlando,100,100,1.0,Terminated
278,2024-04-01,Strategy,L3,Salary,MoonMart2,920,920,1.0,Terminated
279,2022-07-01,Strategy,L2,Hourly,Orlando,939,939,1.0,Terminated
282,2022-10-01,Strategy,L2,Hourly,MoonMart1,518,518,1.0,Terminated
284,2023-04-01,Strategy,L2,Hourly,MoonMart2,712,712,1.0,Terminated
285,2023-10-01,Strategy,L3,Salary,MoonMart2,872,872,1.0,Terminated
286,2022-04-01,Strategy,L2,Hourly,MoonMart1,302,302,1.0,Terminated
288,2022-01-01,Strategy,L3,Salary,Orlando,256,256,1.0,Terminated
289,2022-07-01,Strategy,L2,Hourly,Orlando,363,363,1.0,Terminated
290,2022-04-01,Strategy,L2,Hourly,MoonMart1,413,413,1.0,Terminated
291,2022-04-01,Strategy,L2,Hourly,Orlando,633,633,1.0,Terminated
295,2022-01-01,Strategy,L2,Hourly,MoonMart1,371,371,1.0,Terminated
296,2022-04-01,Strategy,L2,Hourly,MoonMart2,481,481,1.0,Terminated
297,2022-01-01,Strategy,L2,Hourly,MoonMart2,418,418,1.0,Terminated
298,2022-07-01,Strategy,L3,Salary,Orlando,919,919,1.0,Terminated
299,2022-07-01,Strategy,L2,Hourly,Orlando,569,569,1.0,Terminated
300,2022-01-01,Strategy,L2,Hourly,MoonMart1,362,362,1.0,Terminated
302,2023-10-01,Strategy,L3,Salary,MoonMart1,928,365,2.0,Terminated
303,2022-01-01,Strategy,L2,Hourly,MoonMart2,356,356,1.0,Terminated
304,2022-07-01,Strategy,L2,Hourly,Orlando,466,466,1.0,Terminated
306,2022-07-01,Strategy,L2,Hourly,Orlando,509,509,1.0,Terminated
307,2022-07-01,Strategy,L2,Hourly,Orlando,523,523,1.0,Terminated
308,2022-01-01,Strategy,L3,Salary,Orlando,269,269,1.0,Terminated
309,2022-10-01,Strategy,L2,Hourly,MoonMart2,738,738,1.0,Terminated
310,2024-10-01,Strategy,L3,Salary,Orlando,1070,1070,1.0,Active
312,2022-10-01,Strategy,L2,Hourly,MoonMart2,1065,1065,1.0,Terminated
313,2022-01-01,Strategy,L2,Hourly,MoonMart2,617,617,1.0,Terminated
315,2022-01-01,Strategy,L2,Hourly,MoonMart2,577,577,1.0,Terminated
316,2022-04-01,Strategy,L2,Hourly,MoonMart1,428,428,1.0,Terminated
317,2024-10-01,Strategy,L3,Salary,Orlando,1158,731,2.0,Active
318,2022-04-01,Strategy,L2,Hourly,MoonMart1,436,436,1.0,Terminated
319,2022-07-01,Strategy,L2,Hourly,Orlando,450,450,1.0,Terminated
321,2022-10-01,Strategy,L2,Hourly,MoonMart2,929,929,1.0,Terminated
322,2022-04-01,Strategy,L2,Hourly,MoonMart2,491,491,1.0,Terminated
323,2022-01-01,Strategy,L2,Hourly,Orlando,502,502,1.0,Terminated
324,2022-07-01,Strategy,L2,Hourly,Orlando,435,435,1.0,Terminated
325,2022-04-01,Strategy,L2,Hourly,MoonMart1,835,835,1.0,Terminated
326,2022-07-01,Strategy,L2,Hourly,Orlando,900,900,1.0,Terminated
327,2023-04-01,Strategy,L2,Hourly,Orlando,561,561,1.0,Terminated
328,2022-04-01,Strategy,L2,Hourly,MoonMart1,333,333,1.0,Terminated
329,2022-04-01,Strategy,L2,Hourly,MoonMart2,557,557,1.0,Terminated
330,2023-04-01,Strategy,L2,Hourly,Orlando,573,573,1.0,Terminated
332,2022-01-01,Strategy,L2,Hourly,MoonMart1,449,449,1.0,Terminated
335,2022-10-01,Strategy,L2,Hourly,MoonMart2,405,405,1.0,Terminated
336,2022-04-01,Strategy,L2,Hourly,Orlando,184,184,1.0,Terminated
337,2022-04-01,Strategy,L2,Hourly,Orlando,467,467,1.0,Terminated
338,2022-10-01,Strategy,L2,Hourly,Orlando,562,562,1.0,Terminated
339,2023-07-01,Strategy,L3,Salary,MoonMart2,688,273,2.0,Terminated
340,2023-01-01,Strategy,L3,Salary,Orlando,582,582,1.0,Terminated
341,2022-07-01,Strategy,L3,Salary,Orlando,335,335,1.0,Terminated
342,2023-10-01,Strategy,L3,Salary,Orlando,930,457,2.0,Terminated
344,2022-04-01,Strategy,L2,Hourly,MoonMart1,316,316,1.0,Terminated
345,2022-01-01,Strategy,L2,Hourly,MoonMart1,346,346,1.0,Terminated
347,2022-07-01,Strategy,L2,Hourly,Orlando,498,498,1.0,Terminated
348,2022-07-01,Strategy,L2,Hourly,Orlando,545,545,1.0,Terminated
349,2022-07-01,Strategy,L2,Hourly,Orlando,530,530,1.0,Terminated
350,2022-07-01,Strategy,L2,Hourly,MoonMart2,506,506,1.0,Terminated
351,2023-04-01,Strategy,L2,Hourly,MoonMart1,768,768,1.0,Terminated
352,2022-01-01,Strategy,L2,Hourly,MoonMart1,171,171,1.0,Terminated
354,2022-01-01,Strategy,L2,Hourly,Orlando,734,734,1.0,Terminated
355,2022-07-01,Strategy,L2,Hourly,Orlando,588,588,1.0,Terminated
357,2022-04-01,Strategy,L2,Hourly,MoonMart2,205,205,1.0,Terminated
358,2022-01-01,Strategy,L2,Hourly,Orlando,125,125,1.0,Terminated
359,2023-07-01,Strategy,L3,Salary,Orlando,774,774,1.0,Terminated
360,2022-04-01,Strategy,L2,Hourly,MoonMart2,817,817,1.0,Terminated
361,2022-01-01,Strategy,L3,Salary,MoonMart1,342,342,1.0,Terminated
362,2023-01-01,Strategy,L2,Hourly,Orlando,466,466,1.0,Terminated
363,2022-07-01,Strategy,L2,Hourly,Orlando,691,691,1.0,Terminated
364,2022-04-01,Strategy,L2,Hourly,MoonMart1,304,304,1.0,Terminated
367,2022-04-01,Strategy,L2,Hourly,MoonMart1,408,408,1.0,Terminated
369,2022-10-01,Strategy,L2,Hourly,Orlando,973,973,1.0,Terminated
372,2022-07-01,Strategy,L2,Hourly,Orlando,808,808,1.0,Terminated
373,2022-04-01,Strategy,L2,Hourly,MoonMart2,417,417,1.0,Terminated
374,2022-01-01,Strategy,L2,Hourly,Orlando,154,154,1.0,Terminated
375,2023-04-01,Strategy,L3,Salary,Orlando,860,860,1.0,Terminated
376,2022-04-01,Strategy,L2,Hourly,MoonMart1,609,609,1.0,Terminated
377,2022-01-01,Strategy,L2,Hourly,MoonMart2,452,452,1.0,Terminated
378,2022-04-01,Strategy,L2,Hourly,MoonMart2,603,603,1.0,Terminated
379,2022-07-01,Strategy,L2,Hourly,Orlando,279,279,1.0,Terminated
380,2022-01-01,Strategy,L3,Salary,Orlando,541,541,1.0,Terminated
381,2023-01-01,Strategy,L2,Hourly,MoonMart2,1131,1131,1.0,Terminated
382,2022-01-01,Strategy,L2,Hourly,Orlando,98,98,1.0,Terminated
383,2022-04-01,Strategy,L2,Hourly,Orlando,259,259,1.0,Terminated
384,2022-07-01,Strategy,L2,Hourly,Orlando,586,586,1.0,Terminated
385,2022-10-01,Strategy,L2,Hourly,Orlando,509,509,1.0,Terminated
386,2022-01-01,Strategy,L2,Hourly,Orlando,215,215,1.0,Terminated
387,2022-01-01,Strategy,L2,Hourly,MoonMart2,230,230,1.0,Terminated
388,2022-07-01,Strategy,L2,Hourly,Orlando,544,544,1.0,Terminated
390,2022-01-01,Strategy,L2,Hourly,Orlando,397,397,1.0,Terminated
392,2022-01-01,Strategy,L2,Hourly,MoonMart2,418,418,1.0,Terminated
393,2022-07-01,Strategy,L2,Hourly,Orlando,849,849,1.0,Terminated
394,2022-10-01,Strategy,L2,Hourly,MoonMart2,520,520,1.0,Terminated
395,2022-04-01,Strategy,L2,Hourly,MoonMart2,503,503,1.0,Terminated
396,2022-07-01,Strategy,L2,Hourly,Orlando,883,883,1.0,Terminated
398,2022-01-01,Strategy,L2,Hourly,Orlando,286,286,1.0,Terminated
399,2022-01-01,Strategy,L3,Salary,Orlando,225,225,1.0,Terminated
401,2022-01-01,Strategy,L2,Hourly,MoonMart1,299,299,1.0,Terminated
402,2022-01-01,Strategy,L2,Hourly,Orlando,197,197,1.0,Terminated
403,2023-04-01,Strategy,L2,Hourly,Orlando,1065,1065,1.0,Terminated
404,2024-10-01,Strategy,L3,Salary,Orlando,1465,1465,1.0,Active
405,2022-04-01,Strategy,L2,Hourly,MoonMart2,752,752,1.0,Terminated
406,2022-01-01,Strategy,L3,Salary,Orlando,644,644,1.0,Terminated
407,2022-04-01,Strategy,L2,Hourly,Orlando,752,752,1.0,Terminated
408,2022-04-01,Strategy,L3,Salary,MoonMart2,494,494,1.0,Terminated
409,2022-01-01,Strategy,L2,Hourly,MoonMart2,103,103,1.0,Terminated
411,2022-07-01,Strategy,L3,Salary,Orlando,767,767,1.0,Terminated
414,2022-10-01,Strategy,L2,Hourly,MoonMart2,694,694,1.0,Terminated
415,2022-04-01,Strategy,L2,Hourly,MoonMart2,642,642,1.0,Terminated
416,2022-10-01,Strategy,L2,Hourly,MoonMart2,661,661,1.0,Terminated
417,2022-04-01,Strategy,L2,Hourly,MoonMart1,355,355,1.0,Terminated
418,2022-01-01,Strategy,L2,Hourly,MoonMart2,158,158,1.0,Terminated
419,2022-01-01,Strategy,L3,Salary,MoonMart2,549,549,1.0,Terminated
420,2022-01-01,Strategy,L2,Hourly,Orlando,748,748,1.0,Terminated
421,2022-04-01,Strategy,L2,Hourly,MoonMart1,743,743,1.0,Terminated
422,2022-04-01,Strategy,L2,Hourly,MoonMart2,242,242,1.0,Terminated
423,2022-04-01,Strategy,L2,Hourly,MoonMart1,322,322,1.0,Terminated
424,2022-04-01,Strategy,L2,Hourly,MoonMart2,433,433,1.0,Terminated
425,2022-01-01,Strategy,L2,Hourly,Orlando,97,97,1.0,Terminated
426,2023-01-01,Strategy,L2,Hourly,Orlando,681,681,1.0,Terminated
427,2023-07-01,Strategy,L3,Salary,Orlando,779,365,2.0,Terminated
428,2022-01-01,Strategy,L2,Hourly,MoonMart1,209,209,1.0,Terminated
429,2022-01-01,Strategy,L2,Hourly,MoonMart2,379,379,1.0,Terminated
430,2022-10-01,Strategy,L2,Hourly,MoonMart1,421,421,1.0,Terminated
431,2022-01-01,Strategy,L2,Hourly,MoonMart2,442,442,1.0,Terminated
433,2022-04-01,Strategy,L2,Hourly,MoonMart1,224,224,1.0,Terminated
434,2022-01-01,Strategy,L2,Hourly,MoonMart1,160,160,1.0,Terminated
436,2022-10-01,Strategy,L2,Hourly,MoonMart2,465,465,1.0,Terminated
438,2022-10-01,Strategy,L2,Hourly,MoonMart1,497,497,1.0,Terminated
439,2023-01-01,Strategy,L2,Hourly,Orlando,495,495,1.0,Terminated
441,2022-01-01,Strategy,L2,Hourly,Orlando,277,277,1.0,Terminated
